Task	User time (s)	System time (s)	CPU time (s)	Wall time (s)	Max RSS (KB)	Method
bwa_mem	303268.82	1094.72	304363.54	9617.0	10153904	grch38
samtools_sort	5975.41	370.28	6345.69	46175.0	5424072	grch38
leviosam_lift	11343.77	13588.63	24932.4	3625.0	11927072	chm13_to_grch38
leviosam_collate	6867.36	94.12	6961.48	7108.0	21994356	chm13_to_grch38
bwa_mem	190492.17	908.7	191400.87000000002	5435.0	44468492	chm13_to_grch38
samtools_view	833.09	41.35	874.44	5435.0	20456	chm13_to_grch38
samtools_sort	2500.55	65.28	2565.8300000000004	5080.0	31675104	chm13_to_grch38
samtools_sort	2347.66	51.57	2399.23	4230.0	31670852	chm13_to_grch38
leviosam_cherry_pick	1269.02	20.71	1289.73	1295.65	21224	chm13_to_grch38
samtools_cat	0.42	42.56	42.980000000000004	244.91	3896	chm13_to_grch38
samtools_sort	5406.67	126.26	5532.93	1307.01	32314200	chm13_to_grch38
